title,info,file,expires,tags,usage,country
Lumiposa 625 FS Insecticide Seed Treatment,"Lumiposa 625 FS, INSECTCIDE SEED TREATMENT - Greece",GR_Lumiposa_625_FS_pkg_txt_el_pms.eps,Never,"Greece, Lumiposa 625 FS, ΕΝΟΜΟΚΤΟΝΟ ΕΠΕΝΔΥΣΗΣ ΣΠΟΡΩΝ, Greek, INSECTCIDE SEED TREATMENT","Black, PMS 7549 C Gold, PMS 285 C Blue",Greece
Magnitude herbicide,Magnitude Herbicida,BO_Magnitude_pkg_txt_es_pms.eps,Never,"Bolivia, Magnitude, herbicida, spanish, herbicide","PMS 361 C Green, PMS 285 C Blue, Black",Bolivia
Ridgeback Insecticide,Ridgeback Insecticide with Isoclast active,US_Ridgeback_with_Isoclast_active_pkg_txt_en_pms.eps,Never,"United States, Ridgeback Insecticide with Isoclast active, English, Insecticide","Black, PMS 1525 C Orange, PMS 285 C Blue",United States
Ridgeback Insecticide,Ridgeback Insecticide with Isoclast active,US_Ridgeback_with_Isoclast_active_pkg_bdg_en_pms.eps,Never,"United States, Ridgeback Insecticide with Isoclast active, English, Insecticide","Black, PMS 1525 C Orange, PMS 1495 C Orange, PMS 285 C Blue",United States
Flexidor Herbicide,Flexidor,DE-AT_Flexidor_pkg_bdg_de_pms.eps,Never,"Austria, Germany, Flexidor, Herbizid, Isoxaben, German, Herbicide","PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue, Black",Germany
Flexidor Herbicide,Flexidor,DE-AT_Flexidor_pkg_txt_de_pms.eps,Never,"Austria, Germany, Flexidor, Herbizid, Isoxaben, German, Herbicide","PMS 361 C Green, PMS 285 C Blue, Black",Germany
zerocount GR insecticide,ゼロカウント粒剤,JP_zerocount_GR_pkg_txt_ja_pms.eps,Never,"Japan,日本,ゼロカウント,殺虫剤,Japanese,insecticide","Black, PMS 1525 C Orange, PMS 285 C Blue",Japan
zerocount GR insecticide,ゼロカウント粒剤,JP_zerocount_GR_pkg_bdg_ja_pms.eps,Never,"Japan,日本,ゼロカウント,殺虫剤,Japanese,insecticide","Black, PMS 1525 C Orange, PMS 1495 C Orange, PMS 285 C Blue",Japan
Stinger HL Herbicide,Stinger HL Herbicide,US_Stinger_HL_pkg_bdg_en_pms.eps,Never,"United States, Stinger HL Herbicide, English, herbicide","PMS 349 C Green, PMS 376 C Green, PMS 285 C Blue, Black",United States
Stinger HL Herbicide,Stinger HL Herbicide,US_Stinger_HL_pkg_txt_en_pms.eps,Never,"United States, Stinger HL Herbicide, English, herbicide","PMS 349 C Green, PMS 285 C Blue, Black",United States
